1a|Hwæt! wē Gār-Dena
1384a|"Ne sorga, snotor guma!
1384b|sēlre bið ǣghwǣm,
1385a|þæt hē his frēond wrece,
1385b|þonne hē fela murne;
1386a|ūre ǣghwylc sceal
1386b|ende gebīdan
1387a|worolde līfes;
1387b|wyrce sē þe mōte
1388a|dōmes ǣr dēaðe!
1388b|þæt bið driht‐guman
1389a|unlifgendum
1389b|æfter sēlest.
1390a|Ārīs, rīces weard;
1390b|uton hraðe fēran,
1391a|Grendles māgan
1391b|gang scēawigan!
1392a|Ic hit þē gehāte:
1392b|nō hē on helm losað,
1393a|nē on foldan fæðm,
1393b|nē on fyrgen‐holt,
1394a|nē on gyfenes grund,
1394b|gā þǣr hē wille.
1395a|Þȳs dōgor þū
1395b|geþyld hafa
1396a|wēana gehwylces,
1396b|swā ic þē wēne tō!"
1397a|Āhlēop þā se gomela,
1397b|gode þancode,
1398a|mihtigan drihtne,
1398b|þæs se man gespræc.
1399a|Þā wæs Hrōðgāre
1399b|hors gebǣted,
1400a|wicg wunden‐feax.
1400b|Wīsa fengel
1401a|geatolīc gengde;
1401b|gum‐fēða stōp
1402a|lind‐hæbbendra.
1402b|Lāstas wǣron
1403a|æfter wald‐swaðum
1403b|wīde gesȳne,
1404a|gang ofer grundas;
1404b|gegnum fōr þā
1405a|ofer myrcan mōr,
1405b|mago‐þegna bær
1406a|þone sēlestan
1406b|sāwol‐lēasne,
1407a|þāra þe mid Hrōðgāre
1407b|hām eahtode.
1408a|Ofer‐ēode þā
1408b|æðelinga bearn
1409a|stēap stān‐hliðo,
1409b|stīge nearwe,
1410a|enge ān‐paðas,
1410b|un‐cūð gelād,
1411a|neowle næssas,
1411b|nicor‐hūsa fela;
1412a|hē fēara sum
1412b|beforan gengde
1413a|wīsra monna,
1413b|wong scēawian,
1414a|oð þæt hē fǣringa
1414b|fyrgen‐bēamas
1415a|ofer hārne stān
1415b|hleonian funde,
1416a|wyn‐lēasne wudu;
1416b|wæter under stōd
1417a|drēorig and gedrēfed.
1417b|Denum eallum wæs,
1418a|winum Scyldinga,
1418b|weorce on mōde,
1419a|tō geþolianne
1419b|þegne monegum,
1420a|oncȳð eorla gehwǣm,
1420b|syððan Æsc‐heres
1421a|on þām holm‐clife
1421b|hafelan mētton.
1422a|Flōd blōde wēol
1422b|(folc tō sǣgon)
1423a|hātan heolfre.
1423b|Horn stundum song
1424a|fūslīc fyrd‐lēoð.
1424b|Fēða eal gesæt;
1425a|gesāwon þā æfter wætere
1425b|wyrm‐cynnes fela,
1426a|sellīce sǣ‐dracan
1426b|sund cunnian,
1427a|swylce on næs‐hleoðum
1427b|nicras licgean,
1428a|þā on undern‐mǣl
1428b|oft bewitigað
1429a|sorh‐fulne sīð
1429b|on segl‐rāde,
1430a|wyrmas and wil‐dēor;
1430b|hīe on weg hruron
1431a|bitere and gebolgne,
1431b|bearhtm ongeāton,
1432a|gūð‐horn galan.
1432b|Sumne Gēata lēod
1433a|of flān‐bogan
1433b|fēores getwǣfde,
1434a|ȳð‐gewinnes,
1434b|þæt him on aldre stōd
1435a|here‐strǣl hearda;
1435b|hē on holme wæs
1436a|sundes þē sǣnra,
1436b|þē hyne swylt fornam.
1437a|Hræðe wearð on ȳðum
1437b|mid eofer‐sprēotum
1438a|heoro‐hōcyhtum
1438b|hearde genearwod,
1439a|nīða genǣged
1439b|and on næs togen
1440a|wundorlīc wǣg‐bora;
1440b|weras scēawedon
1441a|gryrelīcne gist.
1441b|Gyrede hine Bēowulf
1442a|eorl‐gewǣdum,
1442b|nalles for ealdre mearn:
1443a|scolde here‐byrne
1443b|hondum gebrōden,
1444a|sīd and searo‐fāh,
1444b|sund cunnian,
1445a|sēo þe bān‐cofan
1445b|beorgan cūðe,
1446a|þæt him hilde‐grāp
1446b|hreðre ne mihte,
1447a|eorres inwit‐feng,
1447b|aldre gesceððan;
1448a|ac se hwīta helm
1448b|hafelan werede,
1449a|sē þe mere‐grundas
1449b|mengan scolde,
1450a|sēcan sund‐gebland
1450b|since geweorðad,
1451a|befongen frēa‐wrāsnum,
1451b|swā hine fyrn‐dagum
1452a|worhte wǣpna smið,
1452b|wundrum tēode,
1453a|besette swīn‐līcum,
1453b|þæt hine syððan nō
1454a|brond nē beado‐mēcas
1454b|bītan ne meahton.
1455a|Næs þæt þonne mǣtost
1455b|mægen‐fultuma,
1456a|þæt him on þearfe lāh
1456b|þyle Hrōðgāres;
1457a|wæs þǣm hæft‐mēce
1457b|Hrunting nama,
1458a|þæt wæs ān foran
1458b|eald‐gestrēona;
1459a|ecg wæs īren
1459b|āter‐tēarum fāh,
1460a|āhyrded heaðo‐swāte;
1460b|nǣfre hit æt hilde ne swāc
1461a|manna ǣngum
1461b|þāra þe hit mid mundum bewand,
1462a|sē þe gryre‐sīðas
1462b|gegān dorste,
1463a|folc‐stede fāra;
1463b|næs þæt forma sīð,
1464a|þæt hit ellen‐weorc
1464b|æfnan scolde.
1465a|Hūru ne gemunde
1465b|mago Ecglāfes
1466a|eafoðes cræftig,
1466b|þæt hē ǣr gespræc
1467a|wīne druncen,
1467b|þā hē þæs wǣpnes onlāh
1468a|sēlran sweord‐frecan:
1468b|selfa ne dorste
1469a|under ȳða gewin
1469b|aldre genēðan,
1470a|driht‐scype drēogan;
1470b|þǣr hē dōme forlēas,
1471a|ellen‐mǣrðum.
1471b|Ne wæs þǣm ōðrum swā,
1472a|syððan hē hine tō gūðe
1472b|gegyred hæfde.
1473a|Bēowulf maðelode,
1473b|bearn Ecgþēowes:
1474a|"geþenc nū, se mǣra
1474b|maga Healfdenes,
1475a|snottra fengel,
1475b|nū ic eom sīðes fūs,
1476a|gold‐wine gumena,
1476b|hwæt wit geō sprǣcon,
1477a|gif ic æt þearfe
1477b|þīnre scolde
1478a|aldre linnan,
1478b|þæt þū mē ā wǣre
1479a|forð‐gewitenum
1479b|on fæder stǣle;
1480a|wes þū mund‐bora mīnum
1480b|mago‐þegnum,
1481a|hond‐gesellum,
1481b|gif mec hild nime:
1482a|swylce þū þā mādmas,
1482b|þē þū mē sealdest,
1483a|Hrōðgār lēofa,
1483b|Higelāce onsend.
1484a|Mæg þonne on þǣm golde ongitan
1484b|Gēata dryhten,
1485a|gesēon sunu Hrēðles,
1485b|þonne hē on þæt sinc starað,
1486a|þæt ic gum‐cystum
1486b|gōdne funde
1487a|bēaga bryttan,
1487b|brēac þonne mōste.
1488a|And þū Unferð lǣt
1488b|ealde lāfe,
1489a|wrǣtlīc wǣg‐sweord
1489b|wīd‐cūðne man
1490a|heard‐ecg habban;
1490b|ic mē mid Hruntinge
1491a|dōm gewyrce,
1491b|oððe mec dēað nimeð."
1492a|Æfter þǣm wordum
1492b|Weder‐Gēata lēod
1493a|efste mid elne,
1493b|nalas andsware
1494a|bīdan wolde;
1494b|brim‐wylm onfēng
1495a|hilde‐rince.
1495b|Þā wæs hwīl dæges,
1496a|ǣr hē þone grund‐wong
1496b|ongytan mehte.
1497a|Sōna þæt onfunde,
1497b|sē þe flōda begong
1498a|heoro‐gīfre behēold
1498b|hund missēra,
1499a|grim and grǣdig,
1499b|þæt þǣr gumena sum
1500a|æl‐wihta eard
1500b|ufan cunnode.
1501a|Grāp þā tōgēanes,
1501b|gūð‐rinc gefēng
1502a|atolan clommum;
1502b|nō þȳ ǣr in gescōd
1503a|hālan līce:
1503b|hring ūtan ymb‐bearh,
1504a|þæt hēo þone fyrd‐hom
1504b|þurh‐fōn ne mihte,
1505a|locene leoðo‐syrcan
1505b|lāðan fingrum.
1506a|Bær þā sēo brim‐wylf,
1506b|þā hēo tō botme cōm,
1507a|hringa þengel
1507b|tō hofe sīnum,
1508a|swā hē ne mihte nō
1508b|(hē þæs mōdig wæs)
1509a|wǣpna gewealdan,
1509b|ac hine wundra þæs fela
1510a|swencte on sunde,
1510b|sǣ‐dēor monig
1511a|hilde‐tūxum
1511b|here‐syrcan bræc,
1512a|ēhton āglǣcan.
1512b|Þā se eorl ongeat,
1513a|þæt hē in nið‐sele
1513b|nāt‐hwylcum wæs,
1514a|þǣr him nǣnig wæter
1514b|wihte ne sceðede,
1515a|nē him for hrōf‐sele
1515b|hrīnan ne mehte
1516a|fǣr‐gripe flōdes:
1516b|fȳr‐lēoht geseah,
1517a|blācne lēoman
1517b|beorhte scīnan.
1518a|Ongeat þā se gōda
1518b|grund‐wyrgenne,
1519a|mere‐wīf mihtig;
1519b|mægen‐rǣs forgeaf
1520a|hilde‐bille,
1520b|hond swenge ne oftēah,
1521a|þæt hire on hafelan
1521b|hring‐mǣl āgōl
1522a|grǣdig gūð‐lēoð.
1522b|Þā se gist onfand,
1523a|þæt se beado‐lēoma
1523b|bītan nolde,
1524a|aldre sceððan,
1524b|ac sēo ecg geswāc
1525a|þēodne æt þearfe:
1525b|þolode ǣr fela
1526a|hond‐gemōta,
1526b|helm oft gescær,
1527a|fǣges fyrd‐hrægl:
1527b|þæt wæs forma sīð
1528a|dēorum māðme,
1528b|þæt his dōm ālæg.
1529a|Eft wæs ān‐rǣd,
1529b|nalas elnes læt,
1530a|mǣrða gemyndig
1530b|mǣg Hygelāces;
1531a|wearp þā wunden‐mǣl
1531b|wrǣttum gebunden
1532a|yrre ōretta,
1532b|þæt hit on eorðan læg,
1533a|stīð and stȳl‐ecg;
1533b|strenge getruwode,
1534a|mund‐gripe mægenes.
1534b|Swā sceal man dōn,
1535a|þonne hē æt gūðe
1535b|gegān þenceð
1536a|longsumne lof,
1536b|nā ymb his līf cearað.
1537a|Gefēng þā be eaxle
1537b|(nalas for fǣhðe mearn)
1538a|Gūð‐Gēata lēod
1538b|Grendles mōdor;
1539a|brægd þā beadwe heard,
1539b|þā hē gebolgen wæs,
1540a|feorh‐genīðlan,
1540b|þæt hēo on flet gebēah.
1541a|Hēo him eft hraðe
1541b|and‐lēan forgeald
1542a|grimman grāpum
1542b|and him tōgēanes fēng;
1543a|oferwearp þā wērig‐mōd
1543b|wigena strengest,
1544a|fēðe‐cempa,
1544b|þæt hē on fylle wearð.
1545a|Ofsæt þā þone sele‐gyst
1545b|and hyre seaxe getēah,
1546a|brād and brūn‐ecg
1546b|wolde hire bearn wrecan,
1547a|āngan eaferan.
1547b|Him on eaxle læg
1548a|brēost‐net brōden;
1548b|þæt gebearh fēore,
1549a|wið ord and wið ecge
1549b|ingang forstōd.
1550a|Hæfde þā forsīðod
1550b|sunu Ecgþēowes
1551a|under gynne grund,
1551b|Gēata cempa,
1552a|nemne him heaðo‐byrne
1552b|helpe gefremede,
1553a|here‐net hearde,
1553b|and hālig god
1554a|gewēold wīg‐sigor,
1554b|wītig drihten;
1555a|rodera rǣdend
1555b|hit on ryht gescēd,
1556a|ȳðelīce
1556b|syððan hē eft āstōd.
1557a|Geseah þā on searwum
1557b|sige‐ēadig bil,
1558a|eald sweord eotenisc
1558b|ecgum þȳhtig,
1559a|wigena weorð‐mynd:
1559b|þæt wæs wǣpna cyst,
1560a|būton hit wæs māre
1560b|þonne ǣnig mon ōðer
1561a|tō beadu‐lāce
1561b|ætberan meahte
1562a|gōd and geatolīc
1562b|gīganta geweorc.
1563a|Hē gefēng þā fetel‐hilt,
1563b|freca Scildinga,
1564a|hrēoh and heoro‐grim
1564b|hring‐mǣl gebrægd,
1565a|aldres orwēna,
1565b|yrringa slōh,
1566a|þæt hire wið halse
1566b|heard grāpode,
1567a|bān‐hringas bræc,
1567b|bil eal þurh‐wōd
1568a|fǣgne flǣsc‐homan,
1568b|hēo on flet gecrong;
1569a|sweord wæs swātig,
1569b|secg weorce gefeh.
1570a|Līxte se lēoma,
1570b|lēoht inne stōd,
1571a|efne swā of hefene
1571b|hādre scīneð
1572a|rodores candel.
1572b|Hē æfter recede wlāt,
1573a|hwearf þā be wealle,
1573b|wǣpen hafenade
1574a|heard be hiltum
1574b|Higelāces þegn,
1575a|yrre and ān‐rǣd.
1575b|Næs sēo ecg fracod
1576a|hilde‐rince,
1576b|ac hē hraðe wolde
1577a|Grendle forgyldan
1577b|gūð‐rǣsa fela
1578a|þāra þe hē geworhte
1578b|tō West‐Denum
1579a|oftor micle
1579b|þonne on ǣnne sīð,
1580a|þonne hē Hrōðgāres
1580b|heorð‐genēatas
1581a|slōh on sweofote,
1581b|slǣpende fræt
1582a|folces Denigea
1582b|fȳf‐tȳne men
1583a|and ōðer swylc
1583b|ūt of‐ferede,
1584a|lāðlīcu lāc.
1584b|Hē him þæs lēan forgeald,
1585a|rēðe cempa,
1585b|tō þæs þe hē on ræste geseah
1586a|gūð‐wērigne
1586b|Grendel licgan,
1587a|aldor‐lēasne,
1587b|swā him ǣr gescōd
1588a|hild æt Heorote;
1588b|hrā wīde sprong,
1589a|syððan hē æfter dēaðe
1589b|drepe þrowade,
1590a|heoro‐sweng heardne,
1590b|and hine þā hēafde becearf,
1591a|Sōna þæt gesāwon
1591b|snottre ceorlas,
1592a|þā þe mid Hrōðgāre
1592b|on holm wliton,
1593a|þæt wæs ȳð‐geblond
1593b|eal gemenged,
1594a|brim blōde fāh:
1594b|blonden‐feaxe
1595a|gomele ymb gōdne
1595b|ongeador sprǣcon,
1596a|þæt hig þæs æðelinges
1596b|eft ne wēndon,
1597a|þæt hē sige‐hrēðig
1597b|sēcean cōme
1598a|mǣrne þēoden;
1598b|þā þæs monige gewearð,
1599a|þæt hine sēo brim‐wylf
1599b|ābroten hæfde.
1600a|Þā cōm nōn dæges.
1600b|Næs ofgēafon
1601a|hwate Scyldingas;
1601b|gewāt him hām þonon
1602a|gold‐wine gumena.
1602b|Gistas sētan,
1603a|mōdes sēoce,
1603b|and on mere staredon,
1604a|wiston and ne wēndon,
1604b|þæt hīe heora wine‐drihten
1605a|selfne gesāwon.
1605b|Þā þæt sweord ongan
1606a|æfter heaðo‐swāte
1606b|hilde‐gicelum
1607a|wīg‐bil wanian;
1607b|þæt wæs wundra sum,
1608a|þæt hit eal gemealt
1608b|īse gelīcost,
1609a|þonne forstes bend
1609b|fæder onlǣteð,
1610a|onwindeð wæl‐rāpas,
1610b|sē þe geweald hafað
1611a|sǣla and mǣla;
1611b|þæt is sōð metod.
1612a|Ne nom hē in þǣm wīcum,
1612b|Weder‐Gēata lēod,
1613a|māðm‐ǣhta mā,
1613b|þēh hē þǣr monige geseah,
1614a|būton þone hafelan
1614b|and þā hilt somod,
1615a|since fāge;
1615b|sweord ǣr gemealt,
1616a|forbarn brōden mǣl:
1616b|wæs þæt blōd tō þæs hāt,
1617a|ǣttren ellor‐gǣst,
1617b|sē þǣr inne swealt.
1618a|Sōna wæs on sunde,
1618b|sē þe ǣr æt sæcce gebād
1619a|wīg‐hryre wrāðra,
1619b|wæter up þurh‐dēaf;
1620a|wǣron ȳð‐gebland
1620b|eal gefǣlsod,
1621a|ēacne eardas,
1621b|þā se ellor‐gāst
1622a|oflēt līf‐dagas
1622b|and þās lǣnan gesceaft.
1623a|Cōm þā tō lande
1623b|lid‐manna helm
1624a|swīð‐mōd swymman,
1624b|sǣ‐lāce gefeah,
1625a|mægen‐byrðenne
1625b|þāra þe hē him mid hæfde.
1626a|Ēodon him þā tōgēanes,
1626b|gode þancodon,
1627a|þrȳðlīc þegna hēap,
1627b|þēodnes gefēgon,
1628a|þæs þe hī hyne gesundne
1628b|gesēon mōston.
1629a|Þā wæs of þǣm hrōran
1629b|helm and byrne
1630a|lungre ālȳsed:
1630b|lagu drūsade,
1631a|wæter under wolcnum,
1631b|wæl‐drēore fāg.
1632a|Fērdon forð þonon
1632b|fēðe‐lāstum
1633a|ferhðum fægne,
1633b|fold‐weg mǣton,
1634a|cūðe strǣte;
1634b|cyning‐balde men
1635a|from þǣm holm‐clife
1635b|hafelan bǣron
1636a|earfoðlīce
1636b|heora ǣghwæðrum
1637a|fela‐mōdigra:
1637b|fēower scoldon
1638a|on ðæm wæl‐stenge
1638b|weorcum geferian
1639a|tō þǣm gold‐sele
1639b|Grendles hēafod,
1640a|oð þæt semninga
1640b|tō sele cōmon
1641a|frome fyrd‐hwate
1641b|fēower‐tȳne
1642a|Gēata gongan;
1642b|gum‐dryhten mid
1643a|mōdig on gemonge
1643b|meodo‐wongas træd.
1644a|Þā cōm in gān
1644b|ealdor þegna,
1645a|dǣd‐cēne mon
1645b|dōme gewurðad,
1646a|hæle hilde‐dēor.
1646b|Hrōðgār grētan:
1647a|Þā wæs be feaxe
1647b|on flet boren
1648a|Grendles hēafod,
1648b|þǣr guman druncon,
1649a|egeslīc for eorlum
1649b|and þǣre idese mid:
1650a|wlite‐sēon wrǣtlīc
1650b|weras onsāwon.
1651a|Bēowulf maðelode,
1651b|bearn Ecgþēowes:
1652a|"Hwæt! wē þē þās sǣ‐lāc,
1652b|sunu Healfdenes,
1653a|lēod Scyldinga,
1653b|lustum brōhton,
1654a|tīres tō tācne,
1654b|þē þū hēr tō lōcast.
1655a|Ic þæt unsōfte
1655b|ealdre gedīgde:
1656a|wigge under wætere
1656b|weorc genēðde
1657a|earfoðlīce,
1657b|æt‐rihte wæs
1658a|gūð getwǣfed,
1658b|nymðe mec god scylde.
1659a|Ne meahte ic æt hilde
1659b|mid Hruntinge
1660a|wiht gewyrcan,
1660b|þēah þæt wǣpen duge,
1661a|ac mē geūðe
1661b|ylda waldend,
1662a|þæt ic on wāge geseah
1662b|wlitig hangian
1663a|eald sweord ēacen
1663b|(oftost wīsode
1664a|winigea lēasum)
1664b|þæt ic þȳ wǣpne gebrǣ.
1665a|Ofslōh þā æt þǣre sæcce
1665b|(þā mē sǣl āgeald)
1666a|hūses hyrdas.
1666b|Þā þæt hilde‐bil
1667a|forbarn, brogden mǣl,
1667b|swā þæt blōd gesprang,
1668a|hātost heaðo‐swāta:
1668b|ic þæt hilt þanan
1669a|fēondum ætferede;
1669b|fyren‐dǣda wræc,
1670a|dēað‐cwealm Denigea,
1670b|swā hit gedēfe wæs.
1671a|Ic hit þē þonne gehāte,
1671b|þæt þū on Heorote mōst
1672a|sorh‐lēas swefan
1672b|mid þīnra secga gedryht,
1673a|and þegna gehwylc
1673b|þīnra lēoda,
1674a|duguðe and iogoðe,
1674b|þæt þū him ondrǣdan ne þearft,
1675a|þēoden Scyldinga,
1675b|on þā healfe,
1676a|aldor‐bealu eorlum,
1676b|swā þū ǣr dydest."
1677a|Þā wæs gylden hilt
1677b|gamelum rince.
1678a|hārum hild‐fruman,
1678b|on hand gyfen,
1679a|enta ǣr‐geweorc,
1679b|hit on ǣht gehwearf
1680a|æfter dēofla hryre
1680b|Denigea frēan,
1681a|wundor‐smiða geweorc,
1681b|and þā þās worold ofgeaf
1682a|grom‐heort guma,
1682b|godes andsaca,
1683a|morðres scyldig,
1683b|and his mōdor ēac;
1684a|on geweald gehwearf
1684b|worold‐cyninga
1685a|þǣm sēlestan
1685b|be sǣm twēonum
1686a|þāra þe on Sceden‐igge
1686b|sceattas dǣlde.
1687a|Hrōðgār maðelode,
1687b|hylt scēawode,
1688a|ealde lāfe,
1688b|on þǣm wæs ōr writen
1689a|fyrn‐gewinnes:
1689b|syððan flōd ofslōh,
1690a|gifen gēotende,
1690b|gīganta cyn,
1691a|frēcne gefērdon:
1691b|þæt wæs fremde þēod
1692a|ēcean dryhtne,
1692b|him þæs ende‐lēan
1693a|þurh wæteres wylm
1693b|waldend sealde.
1694a|Swā wæs on þǣm scennum
1694b|scīran goldes
1695a|þurh rūn‐stafas
1695b|rihte gemearcod,
1696a|geseted and gesǣd,
1696b|hwām þæt sweord geworht,
1697a|īrena cyst
1697b|ǣrest wǣre,
1698a|wreoðen‐hilt and wyrm‐fāh.
1698b|þā se wīsa spræc
1699a|sunu Healfdenes
1699b|(swīgedon ealle):
1700a|"Þæt lā mæg secgan,
1700b|sē þe sōð and riht
1701a|fremeð on folce,
1701b|(feor eal gemon
1702a|eald ēðel‐weard),
1702b|þæt þes eorl wǣre
1703a|geboren betera!
1703b|Blǣd is ārǣred
1704a|geond wīd‐wegas,
1704b|wine mīn Bēowulf,
1705a|þīn ofer þēoda gehwylce.
1705b|Eal þū hit geþyldum healdest,
1706a|mægen mid mōdes snyttrum.
1706b|Ic þē sceal mīne gelǣstan
1707a|frēode, swā wit furðum sprǣcon;
1707b|þū scealt tō frōfre weorðan
1708a|eal lang‐twidig
1708b|lēodum þīnum,
1709a|hæleðum tō helpe.
1709b|Ne wearð Heremōd swā
1710a|eaforum Ecgwelan,
1710b|Ār‐Scyldingum;
1711a|ne gewēox hē him tō willan,
1711b|ac tō wæl‐fealle
1712a|and tō dēað‐cwalum
1712b|Deniga lēodum;
1713a|brēat bolgen‐mōd
1713b|bēod‐genēatas,
1714a|eaxl‐gesteallan,
1714b|oð þæt hē āna hwearf,
1715a|mǣre þēoden.
1715b|mon‐drēamum from:
1716a|þēah þe hine mihtig god
1716b|mægenes wynnum,
1717a|eafeðum stēpte,
1717b|ofer ealle men
1718a|forð gefremede,
1718b|hwæðere him on ferhðe grēow
1719a|brēost‐hord blōd‐rēow:
1719b|nallas bēagas geaf
1720a|Denum æfter dōme;
1720b|drēam‐lēas gebād,
1721a|þæt hē þæs gewinnes
1721b|weorc þrowade,
1722a|lēod‐bealo longsum.
1722b|Þū þē lǣr be þon,
1723a|gum‐cyste ongit!
1723b|ic þis gid be þē
1724a|āwræc wintrum frōd.
1724b|Wundor is tō secganne,
1725a|hū mihtig god
1725b|manna cynne
1726a|þurh sīdne sefan
1726b|snyttru bryttað,
1727a|eard and eorl‐scipe,
1727b|hē āh ealra geweald.
1728a|Hwīlum hē on lufan
1728b|lǣteð hworfan
1729a|monnes mōd‐geþonc
1729b|mǣran cynnes,
1730a|seleð him on ēðle
1730b|eorðan wynne,
1731a|tō healdanne
1731b|hlēo‐burh wera,
1732a|gedēð him swā gewealdene
1732b|worolde dǣlas,
1733a|sīde rīce,
1733b|þæt hē his selfa ne mæg
1734a|for his un‐snyttrum
1734b|ende geþencean;
1735a|wunað hē on wiste,
1735b|nō hine wiht dweleð,
1736a|ādl nē yldo,
1736b|nē him inwit‐sorh
1737a|on sefan sweorceð,
1737b|nē gesacu ōhwǣr,
1738a|ecg‐hete ēoweð,
1738b|ac him eal worold
1739a|wendeð on willan;
1739b|hē þæt wyrse ne con,
1740a|oð þæt him on innan
1740b|ofer‐hygda dǣl
1741a|weaxeð and wridað,
1741b|þonne se weard swefeð,
1742a|sāwele hyrde:
1742b|bið se slǣp tō fæst,
1743a|bisgum gebunden,
1743b|bona swīðe nēah,
1744a|sē þe of flān‐bogan
1744b|fyrenum scēoteð.
1745a|"Þonne bið on hreðre
1745b|under helm drepen
1746a|biteran strǣle:
1746b|him bebeorgan ne con
1747a|wom wundor‐bebodum
1747b|wergan gāstes;
1748a|þinceð him tō lȳtel,
1748b|þæt hē tō lange hēold,
1749a|gȳtsað grom‐hȳdig,
1749b|nallas on gylp seleð
1750a|fǣtte bēagas
1750b|and hē þā forð‐gesceaft
1751a|forgyteð and forgȳmeð,
1751b|þæs þe him ǣr god sealde
1752a|wuldres waldend,
1752b|weorð‐mynda dǣl.
1753a|Hit on ende‐stæf
1753b|eft gelimpeð,
1754a|þæt se līc‐homa
1754b|lǣne gedrēoseð,
1755a|fǣge gefealleð;
1755b|fēhð ōðer tō,
1756a|sē þe unmurnlīce
1756b|mādmas dǣleð,
1757a|eorles ǣr‐gestrēon,
1757b|egesan ne gȳmeð.
1758a|Bebeorh þē þone bealo‐nīð,
1758b|Bēowulf lēofa,
1759a|secg se betsta,
1759b|and þē þæt sēlre gecēos,
1760a|ēce rǣdas;
1760b|oferhȳda ne gȳm,
1761a|mǣre cempa!
1761b|Nū is þīnes mægnes blǣd
1762a|āne hwīle;
1762b|eft sōna bið,
1763a|þæt þec ādl oððe ecg
1763b|eafoðes getwǣfeð,
1764a|oððe fȳres feng
1764b|oððe flōdes wylm,
1765a|oððe gripe mēces
1765b|oððe gāres fliht,
1766a|oððe atol yldo,
1766b|oððe ēagena bearhtm
1767a|forsiteð and forsworceð;
1767b|semninga bið,
1768a|þæt þec, dryht‐guma,
1768b|dēað oferswȳðeð.
1769a|Swā ic Hring‐Dena
1769b|hund missēra
1770a|wēold under wolcnum,
1770b|and hig wigge belēac
1771a|manigum mǣgða
1771b|geond þysne middan‐geard,
1772a|æscum and ecgum,
1772b|þæt ic mē ǣnigne
1773a|under swegles begong
1773b|gesacan ne tealde.
1774a|Hwæt! mē þæs on ēðle
1774b|edwenden cwōm,
1775a|gyrn æfter gomene,
1775b|seoððan Grendel wearð,
1776a|eald‐gewinna,
1776b|in‐genga mīn:
1777a|ic þǣre sōcne
1777b|singāles wæg
1778a|mōd‐ceare micle.
1778b|Þæs sig metode þanc,
1779a|ēcean drihtne,
1779b|þæs þe ic on aldre gebād,
1780a|þæt ic on þone hafelan
1780b|heoro‐drēorigne
1781a|ofer eald gewin
1781b|ēagum starige!
1782a|Gā nū tō setle,
1782b|symbel‐wynne drēoh
1783a|wīgge weorðad:
1783b|unc sceal worn fela
1784a|māðma gemǣnra,
1784b|siððan morgen bið."
1785a|Gēat wæs glæd‐mōd,
1785b|gēong sōna tō,
1786a|setles nēosan,
1786b|swā se snottra heht.
1787a|Þā wæs eft swā ǣr
1787b|ellen‐rōfum,
1788a|flet‐sittendum
1788b|fægere gereorded
1789a|nīowan stefne.
1789b|Niht‐helm geswearc
1790a|deorc ofer dryht‐gumum.
1790b|Duguð eal ārās;
1791a|wolde blonden‐feax
1791b|beddes nēosan,
1792a|gamela Scylding.
1792b|Gēat ungemetes wēl,
1793a|rōfne rand‐wigan
1793b|restan lyste:
1794a|sōna him sele‐þegn
1794b|sīðes wērgum,
1795a|feorran‐cundum
1795b|forð wīsade,
1796a|se for andrysnum
1796b|ealle beweotede
1797a|þegnes þearfe,
1797b|swylce þȳ dōgore
1798a|hēaðo‐līðende
1798b|habban scoldon.
1799a|Reste hine þā rūm‐heort;
1799b|reced hlīfade
1800a|gēap and gold‐fāh,
1800b|gæst inne swæf,
1801a|oð þæt hrefn blaca
1801b|heofones wynne
1802a|blīð‐heort bodode.
1802b|Þā cōm beorht sunne
1803a|scacan ofer grundas;
1803b|scaðan ōnetton,
1804a|wǣron æðelingas
1804b|eft tō lēodum
1805a|fūse tō farenne,
1805b|wolde feor þanon
1806a|cuma collen‐ferhð
1806b|cēoles nēosan.
1807a|Heht þā se hearda
1807b|Hrunting beran,
1808a|sunu Ecglāfes,
1808b|heht his sweord niman,
1809a|lēoflīc īren;
1809b|sægde him þæs lēanes þanc,
1810a|cwæð hē þone gūð‐wine
1810b|gōdne tealde,
1811a|wīg‐cræftigne,
1811b|nales wordum lōg
1812a|mēces ecge:
1812b|þæt wæs mōdig secg.
1813a|And þā sīð‐frome
1813b|searwum gearwe
1814a|wīgend wǣron,
1814b|ēode weorð Denum
1815a|æðeling tō yppan,
1815b|þǣr se ōðer wæs
1816a|hæle hilde‐dēor,
1816b|Hrōðgār grētte.
1817a|Bēowulf maðelode,
1817b|bearn Ecgþēowes:
